"region","suburb","occupation","occupation_count_2041","industry","industry_count_2041"
"Brisbane - East","Belmont - Gumdale","Specialist Managers",374,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",341
"Brisbane - East","Belmont - Gumdale","Health Professionals",306,"Hospitals",308
"Brisbane - East","Belmont - Gumdale","Business, Human Resource and Marketing Professionals",232,"Tertiary Education",223
"Brisbane - East","Brisbane Port - Lytton","Chief Executives, General Managers and Legislators",0,"Agriculture",0
"Brisbane - East","Brisbane Port - Lytton","Farmers and Farm Managers",0,"Aquaculture",0
"Brisbane - East","Brisbane Port - Lytton","Arts and Media Professionals",0,"Forestry and Logging",0
"Brisbane - East","Manly - Lota","Specialist Managers",398,"Construction Services",395
"Brisbane - East","Manly - Lota","Business, Human Resource and Marketing Professionals",201,"Public Administration",221
"Brisbane - East","Manly - Lota","Construction Trades Workers",173,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",213
"Brisbane - East","Manly West","Specialist Managers",569,"Construction Services",595
"Brisbane - East","Manly West","Sales Assistants and Salespersons",314,"Preschool and School Education",392
"Brisbane - East","Manly West","Carers and Aides",311,"Public Administration",360
"Brisbane - East","Murarrie","Specialist Managers",364,"Construction Services",263
"Brisbane - East","Murarrie","Business, Human Resource and Marketing Professionals",242,"Public Administration",236
"Brisbane - East","Murarrie","Carers and Aides",225,"Other Store-Based Retailing",190
"Brisbane - East","Tingalpa","Specialist Managers",389,"Construction Services",411
"Brisbane - East","Tingalpa","Health Professionals",277,"Hospitals",309
"Brisbane - East","Tingalpa","Business, Human Resource and Marketing Professionals",270,"Tertiary Education",309
"Brisbane - East","Wakerley","Specialist Managers",497,"Construction Services",378
"Brisbane - East","Wakerley","Business, Human Resource and Marketing Professionals",279,"Hospitals",284
"Brisbane - East","Wakerley","Health Professionals",250,"Preschool and School Education",220
"Brisbane - East","Wynnum","Specialist Managers",732,"Construction Services",800
"Brisbane - East","Wynnum","Sales Assistants and Salespersons",395,"Preschool and School Education",464
"Brisbane - East","Wynnum","Health Professionals",386,"Public Administration",455
"Brisbane - East","Wynnum West - Hemmant","Specialist Managers",570,"Construction Services",743
"Brisbane - East","Wynnum West - Hemmant","Carers and Aides",411,"Air and Space Transport",492
"Brisbane - East","Wynnum West - Hemmant","Business, Human Resource and Marketing Professionals",371,"Tertiary Education",457
"Brisbane - North","Aspley","Carers and Aides",646,"Public Administration",649
"Brisbane - North","Aspley","Business, Human Resource and Marketing Professionals",619,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",627
"Brisbane - North","Aspley","Specialist Managers",599,"Other Store-Based Retailing",526
"Brisbane - North","Bald Hills","Carers and Aides",349,"Construction Services",417
"Brisbane - North","Bald Hills","Sales Assistants and Salespersons",252,"Public Administration",271
"Brisbane - North","Bald Hills","Specialist Managers",234,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",253
"Brisbane - North","Boondall","Carers and Aides",369,"Public Administration",405
"Brisbane - North","Boondall","Business, Human Resource and Marketing Professionals",338,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",320
"Brisbane - North","Boondall","Specialist Managers",285,"Other Store-Based Retailing",282
"Brisbane - North","Bracken Ridge","Carers and Aides",1157,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1113
"Brisbane - North","Bracken Ridge","Business, Human Resource and Marketing Professionals",789,"Public Administration",990
"Brisbane - North","Bracken Ridge","Specialist Managers",728,"Other Store-Based Retailing",739
"Brisbane - North","Bridgeman Downs","Specialist Managers",923,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",481
"Brisbane - North","Bridgeman Downs","Carers and Aides",458,"Public Administration",368
"Brisbane - North","Bridgeman Downs","Business, Human Resource and Marketing Professionals",314,"Tertiary Education",359
"Brisbane - North","Brighton (Qld)","Business, Human Resource and Marketing Professionals",315,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",497
"Brisbane - North","Brighton (Qld)","Protective Service Workers",310,"Public Administration",295
"Brisbane - North","Brighton (Qld)","Specialist Managers",293,"Public Order, Safety and Regulatory Services",272
"Brisbane - North","Brisbane Airport","Road and Rail Drivers",17,"Heavy and Civil Engineering Construction",18
"Brisbane - North","Brisbane Airport","Carers and Aides",16,"Road Transport",8
"Brisbane - North","Brisbane Airport","Storepersons",5,"Exploration and Other Mining Support Services",3
"Brisbane - North","Carseldine","Specialist Managers",482,"Public Administration",441
"Brisbane - North","Carseldine","Business, Human Resource and Marketing Professionals",393,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",370
"Brisbane - North","Carseldine","Carers and Aides",348,"Construction Services",368
"Brisbane - North","Chermside","Carers and Aides",901,"Public Administration",701
"Brisbane - North","Chermside","Business, Human Resource and Marketing Professionals",448,"Hospitals",699
"Brisbane - North","Chermside","ICT Professionals",440,"Food and Beverage Services",651
"Brisbane - North","Chermside West","Carers and Aides",413,"Public Administration",334
"Brisbane - North","Chermside West","Specialist Managers",289,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",228
"Brisbane - North","Chermside West","Education Professionals",277,"Social Assistance Services",220
"Brisbane - North","Deagon","Business, Human Resource and Marketing Professionals",153,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",221
"Brisbane - North","Deagon","Carers and Aides",119,"Public Administration",180
